pkg_name,url,updated_in_12m,vignette,comments
accelmissing,https://CRAN.R-project.org/package=accelmissing,,,
ACD,https://CRAN.R-project.org/package=ACD,,,
akima,https://CRAN.R-project.org/package=akima,,,
aLFQ,https://CRAN.R-project.org/package=aLFQ,,,
alleHap,https://CRAN.R-project.org/package=alleHap,,,
allelematch,https://CRAN.R-project.org/package=allelematch,,,
anipaths,https://CRAN.R-project.org/package=anipaths,,,
ArArRedux,https://CRAN.R-project.org/package=ArArRedux,,,
ARCensReg,https://CRAN.R-project.org/package=ARCensReg,,,
ART,https://CRAN.R-project.org/package=ART,,,
autoFRK,https://CRAN.R-project.org/package=autoFRK,,,
automap,https://CRAN.R-project.org/package=automap,,,
BaBooN,https://CRAN.R-project.org/package=BaBooN,,,
bcROCsurface,https://CRAN.R-project.org/package=bcROCsurface,,,
belg,https://CRAN.R-project.org/package=belg,,,
bestNormalize,https://CRAN.R-project.org/package=bestNormalize,,,
bfast,https://CRAN.R-project.org/package=bfast,,,
BGSIMD,https://CRAN.R-project.org/package=BGSIMD,,,
BIFIEsurvey,https://CRAN.R-project.org/package=BIFIEsurvey,,,
bild,https://CRAN.R-project.org/package=bild,,,
binseqtest,https://CRAN.R-project.org/package=binseqtest,,,
binsmooth,https://CRAN.R-project.org/package=binsmooth,,,
Biocomb,https://CRAN.R-project.org/package=Biocomb,,,
biogas,https://CRAN.R-project.org/package=biogas,,,
blastula,https://CRAN.R-project.org/package=blastula,,,
BLOQ,https://CRAN.R-project.org/package=BLOQ,,,
bmem,https://CRAN.R-project.org/package=bmem,,,
BMisc,https://CRAN.R-project.org/package=BMisc,,,
bnstruct,https://CRAN.R-project.org/package=bnstruct,,,
brlrmr,https://CRAN.R-project.org/package=brlrmr,,,
bucky,https://CRAN.R-project.org/package=bucky,,,
CALIBERrfimpute,https://CRAN.R-project.org/package=CALIBERrfimpute,,,
cdparcoord,https://CRAN.R-project.org/package=cdparcoord,,,
cds,https://CRAN.R-project.org/package=cds,,,
censusGeography,https://CRAN.R-project.org/package=censusGeography,,,
chebpol,https://CRAN.R-project.org/package=chebpol,,,
chillR,https://CRAN.R-project.org/package=chillR,,,
ck37r,https://CRAN.R-project.org/package=ck37r,,,
clam,https://CRAN.R-project.org/package=clam,,,
cleandata,https://CRAN.R-project.org/package=cleandata,,,
climatol,https://CRAN.R-project.org/package=climatol,,,
clusterhap,https://CRAN.R-project.org/package=clusterhap,,,
CMF,https://CRAN.R-project.org/package=CMF,,,
CNVassocData,https://CRAN.R-project.org/package=CNVassocData,,,
cobalt,https://CRAN.R-project.org/package=cobalt,,,
coefficientalpha,https://CRAN.R-project.org/package=coefficientalpha,,,
CoImp,https://CRAN.R-project.org/package=CoImp,,,
ConfigParser,https://CRAN.R-project.org/package=ConfigParser,,,
constrainedKriging,https://CRAN.R-project.org/package=constrainedKriging,,,
corlink,https://CRAN.R-project.org/package=corlink,,,
CpGassoc,https://CRAN.R-project.org/package=CpGassoc,,,
CRTgeeDR,https://CRAN.R-project.org/package=CRTgeeDR,,,
cutoffR,https://CRAN.R-project.org/package=cutoffR,,,
CVThresh,https://CRAN.R-project.org/package=CVThresh,,,
dataQualityR,https://CRAN.R-project.org/package=dataQualityR,,,
deductive,https://CRAN.R-project.org/package=deductive,,,
deGradInfer,https://CRAN.R-project.org/package=deGradInfer,,,
dejaVu,https://CRAN.R-project.org/package=dejaVu,,,
denoiseR,https://CRAN.R-project.org/package=denoiseR,,,
DescTools,https://CRAN.R-project.org/package=DescTools,,,
dfexplore,https://CRAN.R-project.org/package=dfexplore,,,
dielectric,https://CRAN.R-project.org/package=dielectric,,,
DiffusionRimp,https://CRAN.R-project.org/package=DiffusionRimp,,,
dils,https://CRAN.R-project.org/package=dils,,,
dlookr,https://CRAN.R-project.org/package=dlookr,,,
DrImpute,https://CRAN.R-project.org/package=DrImpute,,,
DTWBI,https://CRAN.R-project.org/package=DTWBI,,,
DTWUMI,https://CRAN.R-project.org/package=DTWUMI,,,
dyn,https://CRAN.R-project.org/package=dyn,,,
EFDR,https://CRAN.R-project.org/package=EFDR,,,
eigenmodel,https://CRAN.R-project.org/package=eigenmodel,,,
ElastH,https://CRAN.R-project.org/package=ElastH,,,
enviPat,https://CRAN.R-project.org/package=enviPat,,,
eRm,https://CRAN.R-project.org/package=eRm,,,
experiment,https://CRAN.R-project.org/package=experiment,,,
ExplainPrediction,https://CRAN.R-project.org/package=ExplainPrediction,,,
FamEvent,https://CRAN.R-project.org/package=FamEvent,,,
farff,https://CRAN.R-project.org/package=farff,,,
FastImputation,https://CRAN.R-project.org/package=FastImputation,,,
fastLink,https://CRAN.R-project.org/package=fastLink,,,
ff,https://CRAN.R-project.org/package=ff,,,
FHDI,https://CRAN.R-project.org/package=FHDI,,,
FILEST,https://CRAN.R-project.org/package=FILEST,,,
filling,https://CRAN.R-project.org/package=filling,,,
flare,https://CRAN.R-project.org/package=flare,,,
FlexGAM,https://CRAN.R-project.org/package=FlexGAM,,,
flowfield,https://CRAN.R-project.org/package=flowfield,,,
gapfill,https://CRAN.R-project.org/package=gapfill,,,
GauPro,https://CRAN.R-project.org/package=GauPro,,,
gbutils,https://CRAN.R-project.org/package=gbutils,,,
GENEAclassify,https://CRAN.R-project.org/package=GENEAclassify,,,
GenForImp,https://CRAN.R-project.org/package=GenForImp,,,
GetoptLong,https://CRAN.R-project.org/package=GetoptLong,,,
GFA,https://CRAN.R-project.org/package=GFA,,,
ggallin,https://CRAN.R-project.org/package=ggallin,,,
glue,https://CRAN.R-project.org/package=glue,,,
GSE,https://CRAN.R-project.org/package=GSE,,,
GSODR,https://CRAN.R-project.org/package=GSODR,,,
GSSE,https://CRAN.R-project.org/package=GSSE,,,
gsubfn,https://CRAN.R-project.org/package=gsubfn,,,
gsynth,https://CRAN.R-project.org/package=gsynth,,,
gtools,https://CRAN.R-project.org/package=gtools,,,
hapassoc,https://CRAN.R-project.org/package=hapassoc,,,
Haplin,https://CRAN.R-project.org/package=Haplin,,,
haplotyper,https://CRAN.R-project.org/package=haplotyper,,,
HardyWeinberg,https://CRAN.R-project.org/package=HardyWeinberg,,,
heatmaply,https://CRAN.R-project.org/package=heatmaply,,,
hmi,https://CRAN.R-project.org/package=hmi,,,
hsphase,https://CRAN.R-project.org/package=hsphase,,,
hydroGOF,https://CRAN.R-project.org/package=hydroGOF,,,
hydroTSM,https://CRAN.R-project.org/package=hydroTSM,,,
icenReg,https://CRAN.R-project.org/package=icenReg,,,
idealstan,https://CRAN.R-project.org/package=idealstan,,,
idem,https://CRAN.R-project.org/package=idem,,,
ie2misc,https://CRAN.R-project.org/package=ie2misc,,,
imp4p,https://CRAN.R-project.org/package=imp4p,,,
imputeLCMD,https://CRAN.R-project.org/package=imputeLCMD,,,
imputeMDR,https://CRAN.R-project.org/package=imputeMDR,,,
imputeMissings,https://CRAN.R-project.org/package=imputeMissings,,,
imputeMulti,https://CRAN.R-project.org/package=imputeMulti,,,
imputePSF,https://CRAN.R-project.org/package=imputePSF,,,
ImputeRobust,https://CRAN.R-project.org/package=ImputeRobust,,,
imputeTestbench,https://CRAN.R-project.org/package=imputeTestbench,,,
iMRMC,https://CRAN.R-project.org/package=iMRMC,,,
incadata,https://CRAN.R-project.org/package=incadata,,,
indelmiss,https://CRAN.R-project.org/package=indelmiss,,,
iNextPD,https://CRAN.R-project.org/package=iNextPD,,,
InformativeCensoring,https://CRAN.R-project.org/package=InformativeCensoring,,,
intamap,https://CRAN.R-project.org/package=intamap,,,
intamapInteractive,https://CRAN.R-project.org/package=intamapInteractive,,,
interp,https://CRAN.R-project.org/package=interp,,,
Interpol,https://CRAN.R-project.org/package=Interpol,,,
Interpol.T,https://CRAN.R-project.org/package=Interpol.T,,,
ipdw,https://CRAN.R-project.org/package=ipdw,,,
IROmiss,https://CRAN.R-project.org/package=IROmiss,,,
irrNA,https://CRAN.R-project.org/package=irrNA,,,
isni,https://CRAN.R-project.org/package=isni,,,
ISR3,https://CRAN.R-project.org/package=ISR3,,,
iWeigReg,https://CRAN.R-project.org/package=iWeigReg,,,
JointAI,https://CRAN.R-project.org/package=JointAI,,,
jsr223,https://CRAN.R-project.org/package=jsr223,,,
kmi,https://CRAN.R-project.org/package=kmi,,,
kml,https://CRAN.R-project.org/package=kml,,,
kml3d,https://CRAN.R-project.org/package=kml3d,,,
knnGarden,https://CRAN.R-project.org/package=knnGarden,,,
LatticeKrig,https://CRAN.R-project.org/package=LatticeKrig,,,
LCAextend,https://CRAN.R-project.org/package=LCAextend,,,
linkim,https://CRAN.R-project.org/package=linkim,,,
lllcrc,https://CRAN.R-project.org/package=lllcrc,,,
lmomPi,https://CRAN.R-project.org/package=lmomPi,,,
lori,https://CRAN.R-project.org/package=lori,,,
LOST,https://CRAN.R-project.org/package=LOST,,,
Mangrove,https://CRAN.R-project.org/package=Mangrove,,,
MBA,https://CRAN.R-project.org/package=MBA,,,
mdmb,https://CRAN.R-project.org/package=mdmb,,,
memisc,https://CRAN.R-project.org/package=memisc,,,
metagear,https://CRAN.R-project.org/package=metagear,,,
metansue,https://CRAN.R-project.org/package=metansue,,,
MetProc,https://CRAN.R-project.org/package=MetProc,,,
mhsmm,https://CRAN.R-project.org/package=mhsmm,,,
miceadds,https://CRAN.R-project.org/package=miceadds,,,
miceExt,https://CRAN.R-project.org/package=miceExt,,,
miceFast,https://CRAN.R-project.org/package=miceFast,,,
micemd,https://CRAN.R-project.org/package=micemd,,,
miceMNAR,https://CRAN.R-project.org/package=miceMNAR,,,
migest,https://CRAN.R-project.org/package=migest,,,
migui,https://CRAN.R-project.org/package=migui,,,
MIICD,https://CRAN.R-project.org/package=MIICD,,,
MImix,https://CRAN.R-project.org/package=MImix,,,
MIRL,https://CRAN.R-project.org/package=MIRL,,,
mispr,https://CRAN.R-project.org/package=mispr,,,
missDeaths,https://CRAN.R-project.org/package=missDeaths,,,
MissingDataGUI,https://CRAN.R-project.org/package=MissingDataGUI,,,
missRanger,https://CRAN.R-project.org/package=missRanger,,,
mitml,https://CRAN.R-project.org/package=mitml,,,
MixAll,https://CRAN.R-project.org/package=MixAll,,,
mixEMM,https://CRAN.R-project.org/package=mixEMM,,,
mixPHM,https://CRAN.R-project.org/package=mixPHM,,,
MixRF,https://CRAN.R-project.org/package=MixRF,,,
MLCIRTwithin,https://CRAN.R-project.org/package=MLCIRTwithin,,,
mlmmm,https://CRAN.R-project.org/package=mlmmm,,,
MMDai,https://CRAN.R-project.org/package=MMDai,,,
momentuHMM,https://CRAN.R-project.org/package=momentuHMM,,,
MonoInc,https://CRAN.R-project.org/package=MonoInc,,,
monomvn,https://CRAN.R-project.org/package=monomvn,,,
mreg,https://CRAN.R-project.org/package=mreg,,,
MTS,https://CRAN.R-project.org/package=MTS,,,
mtsdi,https://CRAN.R-project.org/package=mtsdi,,,
MultiLCIRT,https://CRAN.R-project.org/package=MultiLCIRT,,,
MultiVarMI,https://CRAN.R-project.org/package=MultiVarMI,,,
multiwayvcov,https://CRAN.R-project.org/package=multiwayvcov,,,
munsellinterpol,https://CRAN.R-project.org/package=munsellinterpol,,,
mvMISE,https://CRAN.R-project.org/package=mvMISE,,,
mvnmle,https://CRAN.R-project.org/package=mvnmle,,,
na.tools,https://CRAN.R-project.org/package=na.tools,,,
ncar,https://CRAN.R-project.org/package=ncar,,,
NCSampling,https://CRAN.R-project.org/package=NCSampling,,,
NestedCohort,https://CRAN.R-project.org/package=NestedCohort,,,
NetComp,https://CRAN.R-project.org/package=NetComp,,,
netregR,https://CRAN.R-project.org/package=netregR,,,
NHMSAR,https://CRAN.R-project.org/package=NHMSAR,,,
NIRStat,https://CRAN.R-project.org/package=NIRStat,,,
NNLM,https://CRAN.R-project.org/package=NNLM,,,
NNMIS,https://CRAN.R-project.org/package=NNMIS,,,
NonCompart,https://CRAN.R-project.org/package=NonCompart,,,
OneR,https://CRAN.R-project.org/package=OneR,,,
OSTSC,https://CRAN.R-project.org/package=OSTSC,,,
padr,https://CRAN.R-project.org/package=padr,,,
paleofire,https://CRAN.R-project.org/package=paleofire,,,
paleomorph,https://CRAN.R-project.org/package=paleomorph,,,
panelView,https://CRAN.R-project.org/package=panelView,,,
PathSelectMP,https://CRAN.R-project.org/package=PathSelectMP,,,
PCA4you,https://CRAN.R-project.org/package=PCA4you,,,
PEMM,https://CRAN.R-project.org/package=PEMM,,,
permGS,https://CRAN.R-project.org/package=permGS,,,
photobiology,https://CRAN.R-project.org/package=photobiology,,,
phylin,https://CRAN.R-project.org/package=phylin,,,
pkr,https://CRAN.R-project.org/package=pkr,,,
pla,https://CRAN.R-project.org/package=pla,,,
plsRglm,https://CRAN.R-project.org/package=plsRglm,,,
polySegratio,https://CRAN.R-project.org/package=polySegratio,,,
powerlmm,https://CRAN.R-project.org/package=powerlmm,,,
prefmod,https://CRAN.R-project.org/package=prefmod,,,
PReMiuM,https://CRAN.R-project.org/package=PReMiuM,,,
preprocomb,https://CRAN.R-project.org/package=preprocomb,,,
preprosim,https://CRAN.R-project.org/package=preprosim,,,
preproviz,https://CRAN.R-project.org/package=preproviz,,,
prophet,https://CRAN.R-project.org/package=prophet,,,
PROscorerTools,https://CRAN.R-project.org/package=PROscorerTools,,,
PRROC,https://CRAN.R-project.org/package=PRROC,,,
pseval,https://CRAN.R-project.org/package=pseval,,,
PSIMEX,https://CRAN.R-project.org/package=PSIMEX,,,
PSM,https://CRAN.R-project.org/package=PSM,,,
PST,https://CRAN.R-project.org/package=PST,,,
PVAClone,https://CRAN.R-project.org/package=PVAClone,,,
pycno,https://CRAN.R-project.org/package=pycno,,,
qgtools,https://CRAN.R-project.org/package=qgtools,,,
qicharts,https://CRAN.R-project.org/package=qicharts,,,
QTLRel,https://CRAN.R-project.org/package=QTLRel,,,
Qtools,https://CRAN.R-project.org/package=Qtools,,,
R.methodsS3,https://CRAN.R-project.org/package=R.methodsS3,,,
RATest,https://CRAN.R-project.org/package=RATest,,,
RCMIP5,https://CRAN.R-project.org/package=RCMIP5,,,
reddPrec,https://CRAN.R-project.org/package=reddPrec,,,
RHT,https://CRAN.R-project.org/package=RHT,,,
Rmagic,https://CRAN.R-project.org/package=Rmagic,,,
rmdHelpers,https://CRAN.R-project.org/package=rmdHelpers,,,
RNAseqNet,https://CRAN.R-project.org/package=RNAseqNet,,,
RNCEP,https://CRAN.R-project.org/package=RNCEP,,,
robCompositions,https://CRAN.R-project.org/package=robCompositions,,,
robustrao,https://CRAN.R-project.org/package=robustrao,,,
ROptSpace,https://CRAN.R-project.org/package=ROptSpace,,,
Rphylopars,https://CRAN.R-project.org/package=Rphylopars,,,
rsem,https://CRAN.R-project.org/package=rsem,,,
rtop,https://CRAN.R-project.org/package=rtop,,,
samon,https://CRAN.R-project.org/package=samon,,,
sampler,https://CRAN.R-project.org/package=sampler,,,
sanon,https://CRAN.R-project.org/package=sanon,,,
sbart,https://CRAN.R-project.org/package=sbart,,,
sbgcop,https://CRAN.R-project.org/package=sbgcop,,,
schumaker,https://CRAN.R-project.org/package=schumaker,,,
scorecardModelUtils,https://CRAN.R-project.org/package=scorecardModelUtils,,,
sensory,https://CRAN.R-project.org/package=sensory,,,
signal,https://CRAN.R-project.org/package=signal,,,
SII,https://CRAN.R-project.org/package=SII,,,
simglm,https://CRAN.R-project.org/package=simglm,,,
simputation,https://CRAN.R-project.org/package=simputation,,,
simsem,https://CRAN.R-project.org/package=simsem,,,
sjlabelled,https://CRAN.R-project.org/package=sjlabelled,,,
sjmisc,https://CRAN.R-project.org/package=sjmisc,,,
Skillings.Mack,https://CRAN.R-project.org/package=Skillings.Mack,,,
smcfcs,https://CRAN.R-project.org/package=smcfcs,,,
SNPassoc,https://CRAN.R-project.org/package=SNPassoc,,,
snpStatsWriter,https://CRAN.R-project.org/package=snpStatsWriter,,,
softImpute,https://CRAN.R-project.org/package=softImpute,,,
sonicLength,https://CRAN.R-project.org/package=sonicLength,,,
spectralAnalysis,https://CRAN.R-project.org/package=spectralAnalysis,,,
speff2trial,https://CRAN.R-project.org/package=speff2trial,,,
sperich,https://CRAN.R-project.org/package=sperich,,,
spex,https://CRAN.R-project.org/package=spex,,,
splus2R,https://CRAN.R-project.org/package=splus2R,,,
spsann,https://CRAN.R-project.org/package=spsann,,,
spsi,https://CRAN.R-project.org/package=spsi,,,
sptemExp,https://CRAN.R-project.org/package=sptemExp,,,
StAMPP,https://CRAN.R-project.org/package=StAMPP,,,
StatMatch,https://CRAN.R-project.org/package=StatMatch,,,
stellaR,https://CRAN.R-project.org/package=stellaR,,,
stinepack,https://CRAN.R-project.org/package=stinepack,,,
stlplus,https://CRAN.R-project.org/package=stlplus,,,
StratifiedRF,https://CRAN.R-project.org/package=StratifiedRF,,,
stringr,https://CRAN.R-project.org/package=stringr,,,
SurvCorr,https://CRAN.R-project.org/package=SurvCorr,,,
swgee,https://CRAN.R-project.org/package=swgee,,,
tabplot,https://CRAN.R-project.org/package=tabplot,,,
tabularaster,https://CRAN.R-project.org/package=tabularaster,,,
TAM,https://CRAN.R-project.org/package=TAM,,,
TAR,https://CRAN.R-project.org/package=TAR,,,
TDPanalysis,https://CRAN.R-project.org/package=TDPanalysis,,,
tempdisagg,https://CRAN.R-project.org/package=tempdisagg,,,
TestDataImputation,https://CRAN.R-project.org/package=TestDataImputation,,,
tidyimpute,https://CRAN.R-project.org/package=tidyimpute,,,
tigerhitteR,https://CRAN.R-project.org/package=tigerhitteR,,,
tinytex,https://CRAN.R-project.org/package=tinytex,,,
TippingPoint,https://CRAN.R-project.org/package=TippingPoint,,,
tourr,https://CRAN.R-project.org/package=tourr,,,
TreePar,https://CRAN.R-project.org/package=TreePar,,,
TreeSim,https://CRAN.R-project.org/package=TreeSim,,,
TripleR,https://CRAN.R-project.org/package=TripleR,,,
tsc,https://CRAN.R-project.org/package=tsc,,,
TSCS,https://CRAN.R-project.org/package=TSCS,,,
TVsMiss,https://CRAN.R-project.org/package=TVsMiss,,,
unbalanced,https://CRAN.R-project.org/package=unbalanced,,,
ustyc,https://CRAN.R-project.org/package=ustyc,,,
VarSelLCM,https://CRAN.R-project.org/package=VarSelLCM,,,
vtreat,https://CRAN.R-project.org/package=vtreat,,,
WaverR,https://CRAN.R-project.org/package=WaverR,,,
weights,https://CRAN.R-project.org/package=weights,,,
weightTAPSPACK,https://CRAN.R-project.org/package=weightTAPSPACK,,,
wgeesel,https://CRAN.R-project.org/package=wgeesel,,,
wNNSel,https://CRAN.R-project.org/package=wNNSel,,,
wrangle,https://CRAN.R-project.org/package=wrangle,,,
ycinterextra,https://CRAN.R-project.org/package=ycinterextra,,,
